StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Q1,Q2,Q3,Q4,Q66,Q5,Q7,Q56,Q81_First Click,Q81_Last Click,Q81_Page Submit,Q81_Click Count,Q57,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,Q48,Q83_First Click,Q83_Last Click,Q83_Page Submit,Q83_Click Count,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q50_7,Q59,Q85_First Click,Q85_Last Click,Q85_Page Submit,Q85_Click Count,Q95,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q61,Q86_First Click,Q86_Last Click,Q86_Page Submit,Q86_Click Count,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q45_6,Q45_7,Q68,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q67,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q69,Q89_First Click,Q89_Last Click,Q89_Page Submit,Q89_Click Count,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q71,Q90_First Click,Q90_Last Click,Q90_Page Submit,Q90_Click Count,Q70,Q91_First Click,Q91_Last Click,Q91_Page Submit,Q91_Click Count,Q72,Q92_First Click,Q92_Last Click,Q92_Page Submit,Q92_Click Count,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,Q78,Q6,Q6_6_TEXT,Q55,Q56,Q57,Random ID,timestamp,arrangement
2025-03-14 10:33:51,2025-03-14 10:35:39,1,,100,107,1,2025-03-14 10:35:40,R_9pybhBTV3cMrkIC,,,,,1.3236,103.7909,preview,EN,,1,1,1,1,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
2025-03-14 10:51:45,2025-03-14 10:51:52,1,,100,7,1,2025-03-14 10:51:53,R_9WSW8KSYvesnMPu,,,,,1.3236,103.7909,preview,EN,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-14 22:50:42,2025-03-14 22:52:08,0,14.100.51.143,100,85,1,2025-03-14 22:52:08,R_4ogUtRnj4MrWJTZ,,,,,1.3236,103.7909,anonymous,EN,,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4
2025-03-14 23:25:49,2025-03-14 23:27:01,1,,100,71,1,2025-03-14 23:27:01,R_9DSy2zpkyb9mYvV,,,,,1.2997,103.8393,preview,EN,,1,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-15 11:35:20,2025-03-15 11:38:09,1,,100,168,1,2025-03-15 11:38:10,R_9K0zaTFfETutVXn,,,,,1.3236,103.7909,preview,EN,,1,1,1,1,1,1,1,3,1,,,,,3,,,,,2,,,,,3,3,3,3,4,4,5,1,,,,,,,,,,3,,,,,2,3,5,5,4,4,6,2,,,,,1,,,,,1,,,,,3,4,5,3,4,5,4,1,,,,,1,,,,,2,,,,,2,3,4,5,6,5,5,,1,,,,,,,3
2025-03-15 18:13:30,2025-03-15 18:18:01,1,,100,270,1,2025-03-15 18:18:01,R_9MjEBQDJed9Wk8N,,,,,3.2038,101.7189,preview,EN,,1,1,1,2,2,1,1,1,1,,,,,2,,,,,2,,,,,5,4,4,4,4,4,5,1,,,,,,,,,,3,,,,,5,4,4,5,4,5,4,1,,,,,1,,,,,2,,,,,7,6,7,6,7,7,7,1,,,,,2,,,,,2,,,,,5,5,6,5,5,5,5,,1,,,,,,,3
2025-03-15 18:48:35,2025-03-15 18:50:43,1,,100,128,1,2025-03-15 18:50:44,R_9H6ln5n85zLvIOw,,,,,1.3236,103.7909,preview,EN,,1,1,1,1,1,3,1,3,1,,,,,3,,,,,1,,,,,3,4,5,5,4,3,4,3,,,,,,,,,,2,,,,,3,4,5,3,4,5,4,1,,,,,1,,,,,2,,,,,3,4,5,5,4,3,3,2,,,,,1,,,,,2,,,,,5,4,3,4,5,6,6,,1,,,,,,,2
2025-03-15 18:53:04,2025-03-15 18:55:01,1,,100,117,1,2025-03-15 18:55:02,R_9U3k2FzebOwHT81,,,,,1.3236,103.7909,preview,EN,,1,1,1,1,1,3,1,3,1,,,,,2,,,,,2,,,,,3,3,3,3,3,3,3,1,,,,,,,,,,1,,,,,4,4,4,4,4,4,4,1,,,,,2,,,,,1,,,,,5,5,5,5,5,5,5,1,,,,,2,,,,,1,,,,,5,5,5,5,5,5,5,,1,,431,4321,1234,,,1
2025-03-16 19:16:35,2025-03-16 19:23:56,1,,100,440,1,2025-03-16 19:23:57,R_9Kp890keieEs7bq,,,,,3.2038,101.7189,preview,EN,,1,1,1,3,2,2,1,1,2,,,,,2,,,,,2,,,,,4,4,4,4,4,4,5,1,,,,,,,,,,2,,,,,3,3,4,4,4,4,4,1,,,,,1,,,,,1,,,,,5,4,5,4,5,5,4,1,,,,,1,,,,,1,,,,,5,4,5,4,5,4,4,,1,,a,aaaa,a,,,1
2025-03-16 21:47:43,2025-03-16 21:49:25,1,,100,102,1,2025-03-16 21:49:26,R_45NGqGwyOksbLuP,,,,,1.3236,103.7909,preview,EN,,1,1,1,1,1,3,1,3,2,,,,,1,,,,,2,,,,,5,6,6,5,6,5,5,1,,,,,,,,,,3,,,,,5,5,5,5,5,5,5,1,,,,,2,,,,,1,,,,,5,5,5,5,5,5,5,3,,,,,1,,,,,2,,,,,4,5,4,5,5,6,6,,1,,1234,1234,1243,,,3
2025-03-18 15:27:20,2025-03-18 15:31:08,1,,100,228,1,2025-03-18 15:31:09,R_4I5XqXSh1NpmQjZ,,,,,1.3024,103.7857,preview,EN,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19 00:57:16,2025-03-19 15:26:19,1,,100,52142,1,2025-03-19 15:26:19,R_9rHbJHSTTamMbSM,,,,,1.3552,103.8859,preview,EN,,1,1,1,1,2,3,2,3,2,,,,,1,,,,,2,,,,,3,3,5,6,5,3,3,1,,,,,,,,,,1,,,,,5,6,6,6,5,4,5,2,,,,,1,,,,,2,,,,,5,4,4,6,4,3,4,2,,,,,2,,,,,1,,,,,7,6,5,6,6,5,6,,1,,"The interface still appears to be a little bit cluttered, so it might be good to simplify the functions or number of tiles.",Lack of visual hierarchy of the tile titles and icons that do not really match the category of the tile can make it more confusing to navigate and find what is required,Having more white space might help with the clarity of navigation and layout,,,1
2025-03-20 23:40:27,2025-03-20 23:40:59,1,,100,32,1,2025-03-20 23:41:00,R_93VTd060QsO5qVT,,,,,1.2968,103.8049,preview,EN,,1,1,1,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-21 15:48:25,2025-03-21 15:52:52,1,,100,266,1,2025-03-21 15:52:52,R_4NmkgETfDj4MTsB,,,,,1.3099,103.7631,preview,EN,,1,1,1,3,2,2,2,1,2,,,,,3,,,,,3,,,,,7,7,7,7,7,7,7,1,,,,,,,,,,1,,,,,6,6,6,6,6,6,6,1,,,,,2,,,,,2,,,,,6,6,6,6,6,6,6,2,,,,,1,,,,,3,,,,,6,6,6,6,6,6,6,,1,,j,j,j,,,2
2025-03-14 22:54:12,2025-03-14 22:54:30,0,111.65.61.57,76,18,0,2025-03-21 22:54:34,R_9CrRNr3w8hBnRSq,,,,,1.3319,103.8242,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2025-03-23 00:16:15,2025-03-23 00:49:14,1,,100,1978,1,2025-03-23 00:49:14,R_4QC2jR9y2Ov45yN,,,,,1.3267,103.8869,preview,EN,,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-23 03:41:47,2025-03-23 03:58:02,0,124.246.106.85,100,974,1,2025-03-23 03:58:03,R_4c6NRCRLDFuZPsV,,,,,1.3563,103.7542,anonymous,EN,,1,1,1,2,2,3,2,2,2,,,,,2,,,,,2,,,,,4,4,4,4,4,4,4,2,,,,,,,,,,3,,,,,7,7,7,7,7,7,7,1,,,,,2,,,,,1,,,,,6,6,6,6,6,6,6,1,,,,,2,,,,,2,,,,,4,4,4,4,4,4,4,,3,,test,est,test,,,2
2025-03-27 12:58:35,2025-03-27 15:50:31,0,103.26.220.163,100,10316,1,2025-03-27 15:50:32,R_4n5TiaY3UOxJ8uS,,,,,1.2872,103.8507,anonymous,EN,,1,1,1,1,1,3,2,3,2,,,,,1,,,,,1,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,2,,,,,1,,,,,1,,,,,1,1,1,1,1,1,1,2,,,,,2,,,,,1,,,,,1,1,1,1,1,1,1,,1,,all the trial links don't work,all the trial links don't work,all the trial links don't work,,,1
2025-03-23 04:08:52,2025-03-23 14:33:46,0,124.246.106.85,5,37494,0,2025-03-30 04:08:57,R_4hmc6zA33alpVus,,,,,1.3563,103.7542,anonymous,EN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-23 15:20:44,2025-03-23 15:20:57,0,137.132.26.237,2,13,0,2025-03-30 15:20:51,R_9ARnBu0madPp3PL,,,,,1.3024,103.7857,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-07 16:40:00,2025-04-07 16:50:22,1,,100,621,1,2025-04-07 16:50:22,R_9p69MiB211jDROr,,,,,1.3236,103.7909,preview,EN,1,1,1,1,1,2,3,1,1,1,,,,,1,,,,,2,,,,,6,5,6,5,6,6,6,2,,,,,,,,,,1,,,,,6,5,6,5,6,5,6,2,,,,,2,,,,,1,,,,,5,5,5,5,5,5,5,2,,,,,2,,,,,2,,,,,5,5,5,5,5,5,5,1,1,,asdf,asdf,asdf,,,4
2025-04-07 17:24:29,2025-04-07 17:26:28,1,,100,118,1,2025-04-07 17:26:28,R_43o7jBqBDUoXCtb,,,,,1.3153,103.9143,preview,EN,1,1,1,1,2,2,3,1,3,1,,,,,2,,,,,1,,,,,6,5,5,5,5,6,6,1,,,,,,,,,,2,,,,,6,5,6,5,6,5,5,1,,,,,1,,,,,1,,,,,5,4,5,4,5,4,5,1,,,,,1,,,,,2,,,,,4,4,5,4,5,5,4,1,2,,none,none,none,,,3
2025-04-08 21:20:41,2025-04-08 21:22:47,1,,100,126,1,2025-04-08 21:22:47,R_4PTLoLRa6V2DgDg,,,,,1.3153,103.9143,preview,EN,1,1,1,1,1,2,3,1,3,1,1.125,1.125,3.308,1,2,1.023,1.023,2.197,1,2,0.979,0.979,2.285,1,6,5,5,5,6,5,6,1,1.457,1.457,6.902,1,,,,,,2,1.15,1.15,2.453,1,5,4,5,4,5,4,5,1,0.766,0.766,2.278,1,1,0.663,0.663,1.944,1,1,0.826,0.826,2.076,1,3,4,3,4,5,5,5,1,0.71,0.71,1.954,1,1,0.681,0.681,1.874,1,2,0.943,0.943,1.933,1,5,4,5,4,4,4,4,1,1,,nil,nil,nil,78465,,2
