uid,participant_id,trial_num_target_based,first_entry_index,time_of_first_entry,task_time,number_of_clicks,last_url,pages_visited,variant
OS_X-Chrome-5795460201116177,70610,13,631,2025-04-15 22:37:30,4.322,3,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-a-home-b&participant_id=70610,"login-a.html, homepage-b.html, personal-info.html",B
OS_X-Chrome-5795460201116177,70610,14,634,2025-04-15 22:37:48,10.802,10,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=70610,"login-a.html, homepage-b.html, personal-info.html, financials.html, manage-student-finance.html",B
OS_X-Chrome-6755602259412075,46402,1,206,2025-04-14 14:50:45,78.129,8,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-b&participant_id=46402,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, academics.html",A
OS_X-Chrome-9255620415972017,23773,1,1702,2025-04-20 18:06:24,48.474,11,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-a&participant_id=23773,"login-b.html, homepage-a.html, academics.html, course-registration.html, personal-info.html",C
OS_X-Chrome-9255620415972017,23773,2,1713,2025-04-20 18:07:24,144.558,33,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=23773,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html, academics.html, course-registration.html, view-classes.html, personal-info.html, addresses.html",C
OS_X-Chrome-9255620415972017,23773,3,1746,2025-04-20 18:10:26,67.329,16,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=23773,"login-b.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html, financials.html, manage-student-finance.html",D
OS_X-Chrome-9255620415972017,23773,4,1762,2025-04-20 18:12:10,42.442,11,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-a-home-a&participant_id=23773#,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html",A
OS_X-Chrome-9477798138328961,68221,1,644,2025-04-15 23:38:07,71.076,48,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-b&participant_id=68221#,"login-b.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html",D
OS_X-Chrome-9477798138328961,68221,2,692,2025-04-15 23:39:34,14.141,6,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=68221,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
OS_X-Chrome-9477798138328961,68221,3,698,2025-04-15 23:41:24,65.93,10,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=68221,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, personal-info.html, financials.html, manage-student-finance.html",A
OS_X-Chrome-9477798138328961,68221,4,708,2025-04-15 23:43:01,37.583,19,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-a&participant_id=68221#,"login-b.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html",C
OS_X-Chrome-9477798138328961,68221,5,727,2025-04-15 23:43:58,33.568,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=68221,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html",C
OS_X-Chrome-9477798138328961,68221,6,732,2025-04-15 23:45:10,194.025,37,https://cs4249-experiment-setup.vercel.app/homepage-b.html?variant=login-a-home-b&participant_id=68221,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, addresses.html, financials-b.html, manage-student-finance.html",B
OS_X-Firefox-4934443760132474,94531,1,214,2025-04-15 20:24:38,176.298,53,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=94531,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, personal-info.html, financials.html, manage-student-finance.html",A
OS_X-Firefox-4934443760132474,94531,2,267,2025-04-15 20:27:48,109.782,30,https://cs4249-experiment-setup.vercel.app/financials-b.html?variant=login-b-home-b&participant_id=94531#,"login-b.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, financials-b.html",D
OS_X-Firefox-4934443760132474,94531,3,297,2025-04-15 20:29:58,62.717,27,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=94531,"login-a.html, homepage-b.html, personal-info.html, financials.html, course-registration.html, view-classes.html, financials-b.html, manage-student-finance.html",B
OS_X-Firefox-4934443760132474,94531,4,324,2025-04-15 20:31:09,37.215,12,https://cs4249-experiment-setup.vercel.app/login-b.html?variant=login-b-home-a&participant_id=94531,"login-b.html, homepage-a.html, personal-info.html, academics.html, course-registration.html, view-classes.html, financials.html",C
OS_X-Firefox-4934443760132474,94531,6,338,2025-04-15 20:33:33,29.966,16,https://cs4249-experiment-setup.vercel.app/course-registration.html?variant=login-a-home-b&participant_id=94531#,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, academics.html",B
OS_X-Firefox-4934443760132474,94531,7,354,2025-04-15 20:34:55,90.67,25,https://cs4249-experiment-setup.vercel.app/financials-b.html?variant=login-a-home-b&participant_id=94531,"login-a.html, homepage-b.html, personal-info.html, addresses.html, financials-b.html, course-registration.html",B
OS_X-Firefox-4934443760132474,94531,8,379,2025-04-15 20:37:44,109.768,23,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=94531,"login-b.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html, financials.html, manage-student-finance.html",C
OS_X-Firefox-4934443760132474,94531,9,402,2025-04-15 20:40:58,122.483,19,https://cs4249-experiment-setup.vercel.app/homepage-a.html?variant=login-a-home-a&participant_id=94531,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, personal-info.html, financials.html, manage-student-finance.html",A
OS_X-Firefox-4934443760132474,94531,10,421,2025-04-15 20:43:33,582.018,45,https://cs4249-experiment-setup.vercel.app/financials-b.html?variant=login-b-home-b&participant_id=94531,"login-b.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-09791106115627657,27484,3,1451,2025-04-20 02:13:31,84.16,6,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-b&participant_id=27484,"login-a.html, login-b.html, homepage-b.html, course-registration.html, view-classes.html",B
Windows-Chrome-09791106115627657,27484,4,1457,2025-04-20 02:15:00,47.049,10,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-b&participant_id=27484#,"login-b.html, homepage-b.html, personal-info.html, contact-details.html",D
Windows-Chrome-09791106115627657,27484,5,1467,2025-04-20 02:15:52,19.715,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=27484#,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-09791106115627657,27484,6,1472,2025-04-20 02:16:59,20.019,10,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-a&participant_id=27484,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",A
Windows-Chrome-09791106115627657,27484,7,1482,2025-04-20 02:17:26,6.879,3,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-a-home-a&participant_id=27484,"login-a.html, homepage-a.html, personal-info.html",A
Windows-Chrome-09791106115627657,27484,8,1485,2025-04-20 02:17:42,8.589,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=27484,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A
Windows-Chrome-09791106115627657,27484,9,1490,2025-04-20 02:18:26,20.938,6,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-a&participant_id=27484,"login-b.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",C
Windows-Chrome-09791106115627657,27484,10,1496,2025-04-20 02:18:52,15.323,5,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-a&participant_id=27484#,"login-b.html, homepage-a.html, personal-info.html, contact-details.html",C
Windows-Chrome-09791106115627657,27484,11,1501,2025-04-20 02:19:14,20.6,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=27484,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html",C
Windows-Chrome-09791106115627657,27484,12,1506,2025-04-20 02:19:56,52.069,14,https://cs4249-experiment-setup.vercel.app/login-a.html?variant=login-a-home-b&participant_id=27484,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, academics.html",B
Windows-Chrome-09791106115627657,27484,13,1520,2025-04-20 02:20:49,25.669,4,https://cs4249-experiment-setup.vercel.app/addresses.html?variant=login-a-home-b&participant_id=27484,"login-a.html, homepage-b.html, personal-info.html, addresses.html",B
Windows-Chrome-09791106115627657,27484,14,1524,2025-04-20 02:21:21,17.605,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=27484,"login-a.html, homepage-b.html, financials-b.html, manage-student-finance.html",B
Windows-Chrome-12581498288349846,52320,3,1600,2025-04-20 15:53:32,273.947,44,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-a-home-b&participant_id=52320#,"login-a.html, homepage-b.html, personal-info.html, contact-details.html",B
Windows-Chrome-12581498288349846,52320,4,1644,2025-04-20 15:58:14,35.859,7,https://cs4249-experiment-setup.vercel.app/addresses.html?variant=login-a-home-b&participant_id=52320,"login-a.html, homepage-b.html, personal-info.html, addresses.html",B
Windows-Chrome-12581498288349846,52320,5,1651,2025-04-20 16:00:05,39.702,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=52320,"login-a.html, homepage-b.html, financials-b.html, manage-student-finance.html",B
Windows-Chrome-12581498288349846,52320,7,1666,2025-04-20 16:04:50,15.519,8,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-a&participant_id=52320,"login-b.html, homepage-a.html, personal-info.html",C
Windows-Chrome-12581498288349846,52320,8,1674,2025-04-20 16:05:36,16.337,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=52320,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html",C
Windows-Chrome-12581498288349846,52320,11,1685,2025-04-20 16:08:00,18.116,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=52320,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A
Windows-Chrome-12581498288349846,52320,13,1693,2025-04-20 16:10:02,43.963,5,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-b&participant_id=52320#,"login-b.html, homepage-b.html, personal-info.html",D
Windows-Chrome-12581498288349846,52320,14,1698,2025-04-20 16:11:00,23.083,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=52320,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-13571269382601925,74407,1,1040,2025-04-19 15:35:29,39.6,9,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-b&participant_id=74407,"login-b.html, homepage-b.html, course-registration.html, view-classes.html",D
Windows-Chrome-13571269382601925,74407,2,1049,2025-04-19 15:36:14,82.607,25,https://cs4249-experiment-setup.vercel.app/homepage-b.html?variant=login-b-home-b&participant_id=74407#,"login-b.html, homepage-b.html, personal-info.html, contact-details.html",D
Windows-Chrome-13571269382601925,74407,3,1074,2025-04-19 15:37:53,56.061,26,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=74407#,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-13571269382601925,74407,4,1100,2025-04-19 15:39:47,30.32,10,https://cs4249-experiment-setup.vercel.app/academics.html?variant=login-a-home-a&participant_id=74407,"login-a.html, homepage-a.html, personal-info.html, academics.html, course-registration.html, view-classes.html",A
Windows-Chrome-13571269382601925,74407,5,1110,2025-04-19 15:40:22,26.449,6,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-a-home-a&participant_id=74407,"login-a.html, homepage-a.html, personal-info.html, contact-details.html",A
Windows-Chrome-13571269382601925,74407,6,1116,2025-04-19 15:40:56,30.534,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=74407,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A
Windows-Chrome-13571269382601925,74407,7,1121,2025-04-19 15:43:57,34.268,5,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-a&participant_id=74407,"login-b.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",C
Windows-Chrome-13571269382601925,74407,8,1126,2025-04-19 15:44:37,16.936,12,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-a&participant_id=74407,"login-b.html, homepage-a.html, personal-info.html, contact-details.html",C
Windows-Chrome-13571269382601925,74407,9,1138,2025-04-19 15:45:02,11.357,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=74407,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html",C
Windows-Chrome-13571269382601925,74407,10,1143,2025-04-19 15:45:58,45.768,18,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-b&participant_id=74407,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, academics.html",B
Windows-Chrome-13571269382601925,74407,11,1161,2025-04-19 15:46:50,17.866,5,https://cs4249-experiment-setup.vercel.app/addresses.html?variant=login-a-home-b&participant_id=74407,"login-a.html, homepage-b.html, personal-info.html, addresses.html",B
Windows-Chrome-13571269382601925,74407,12,1166,2025-04-19 15:47:15,7.293,7,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=74407,"login-a.html, homepage-b.html, financials-b.html, manage-student-finance.html",B
Windows-Chrome-18562935652866985,11096,5,42,2025-04-14 12:25:09,129.328,27,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=11096,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, personal-info.html, financials.html, manage-student-finance.html",A
Windows-Chrome-18562935652866985,11096,6,69,2025-04-14 12:27:27,62.796,11,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-b&participant_id=11096#,"login-b.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html",D
Windows-Chrome-18562935652866985,11096,7,80,2025-04-14 12:28:48,17.953,7,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=11096,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-18562935652866985,11096,8,87,2025-04-14 12:29:15,19.92,11,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=11096#,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-18562935652866985,11096,9,98,2025-04-14 12:30:10,95.554,48,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-a-home-b&participant_id=11096,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html",B
Windows-Chrome-18562935652866985,11096,10,146,2025-04-14 12:32:30,60.601,8,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=11096,"login-a.html, homepage-b.html, financials-b.html, manage-student-finance.html",B
Windows-Chrome-18562935652866985,11096,11,154,2025-04-14 12:33:39,24.618,8,https://cs4249-experiment-setup.vercel.app/login-b.html?variant=login-b-home-a&participant_id=11096,"login-b.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",C
Windows-Chrome-18562935652866985,11096,12,162,2025-04-14 12:34:04,19.672,27,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-a&participant_id=11096#,"login-b.html, homepage-a.html, personal-info.html, contact-details.html",C
Windows-Chrome-18562935652866985,11096,13,189,2025-04-14 12:34:28,147.31,17,https://cs4249-experiment-setup.vercel.app/course-registration.html?variant=login-b-home-a&participant_id=11096,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html, academics.html, course-registration.html",C
Windows-Chrome-3776366208296936,23083,1,1173,2025-04-19 17:28:59,11.398,5,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-b&participant_id=23083,"login-a.html, homepage-b.html, course-registration.html, view-classes.html",B
Windows-Chrome-3776366208296936,23083,2,1178,2025-04-19 17:29:33,25.656,11,https://cs4249-experiment-setup.vercel.app/addresses.html?variant=login-a-home-b&participant_id=23083,"login-a.html, homepage-b.html, personal-info.html, addresses.html",B
Windows-Chrome-3776366208296936,23083,3,1189,2025-04-19 17:30:11,21.856,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=23083,"login-a.html, homepage-b.html, financials-b.html, manage-student-finance.html",B
Windows-Chrome-3776366208296936,23083,4,1193,2025-04-19 17:31:43,14.892,18,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-a&participant_id=23083,"login-b.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",C
Windows-Chrome-3776366208296936,23083,5,1211,2025-04-19 17:32:18,13.093,5,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-a&participant_id=23083,"login-b.html, homepage-a.html, personal-info.html, contact-details.html",C
Windows-Chrome-3776366208296936,23083,6,1216,2025-04-19 17:32:45,6.01,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=23083#,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html",C
Windows-Chrome-3776366208296936,23083,7,1221,2025-04-19 17:33:36,11.527,8,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-a&participant_id=23083,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",A
Windows-Chrome-3776366208296936,23083,8,1229,2025-04-19 17:33:58,35.178,37,https://cs4249-experiment-setup.vercel.app/academics.html?variant=login-a-home-a&participant_id=23083,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",A
Windows-Chrome-3776366208296936,23083,9,1266,2025-04-19 17:34:43,18.362,5,https://cs4249-experiment-setup.vercel.app/login-a.html?variant=login-a-home-a&participant_id=23083,"login-a.html, homepage-a.html, personal-info.html",A
Windows-Chrome-3776366208296936,23083,10,1271,2025-04-19 17:35:02,6.308,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=23083,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A
Windows-Chrome-3776366208296936,23083,11,1276,2025-04-19 17:36:07,13.681,11,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-b&participant_id=23083,"login-b.html, homepage-b.html, course-registration.html, view-classes.html",D
Windows-Chrome-3776366208296936,23083,12,1287,2025-04-19 17:36:29,14.165,5,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-b&participant_id=23083,"login-b.html, homepage-b.html, personal-info.html, addresses.html, contact-details.html",D
Windows-Chrome-3776366208296936,23083,13,1292,2025-04-19 17:36:51,7.224,6,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=23083,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-5771575357579178,77207,1,1301,2025-04-20 00:57:19,76.231,25,https://cs4249-experiment-setup.vercel.app/homepage-a.html?variant=login-a-home-a&participant_id=77207,"login-a.html, homepage-a.html, personal-info.html, academics.html, course-registration.html, view-classes.html, financials.html, manage-student-finance.html",A
Windows-Chrome-5771575357579178,77207,2,1326,2025-04-20 00:58:42,56.505,25,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=77207,"login-b.html, homepage-b.html, financials-b.html, course-registration.html, view-classes.html, academics.html, personal-info.html, manage-student-finance.html",D
Windows-Chrome-5771575357579178,77207,3,1351,2025-04-20 00:59:45,19.865,11,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-a-home-b&participant_id=77207,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, financials-b.html, manage-student-finance.html, personal-info.html",B
Windows-Chrome-5771575357579178,77207,4,1362,2025-04-20 01:00:11,16.328,12,https://cs4249-experiment-setup.vercel.app/homepage-a.html?variant=login-b-home-a&participant_id=77207,"login-b.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, financials.html, manage-student-finance.html",C
Windows-Chrome-5771575357579178,77207,5,1374,2025-04-20 01:01:12,109.449,15,https://cs4249-experiment-setup.vercel.app/login-b.html?variant=login-b-home-a&participant_id=77207,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, addresses.html, financials-b.html, manage-student-finance.html, login-b.html",B
Windows-Chrome-5771575357579178,77207,6,1389,2025-04-20 01:03:03,82.996,21,https://cs4249-experiment-setup.vercel.app/login-a.html?variant=login-a-home-a&participant_id=77207,"login-b.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html, financials.html, manage-student-finance.html, login-a.html",C
Windows-Chrome-5771575357579178,77207,7,1410,2025-04-20 01:04:26,42.569,14,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=77207,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, personal-info.html, financials.html, manage-student-finance.html",A
Windows-Chrome-5771575357579178,77207,8,1424,2025-04-20 01:05:16,37.768,19,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=77207,"login-b.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-6037541208831418,51736,1,883,2025-04-18 22:51:23,66.204,13,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=51736,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, financials.html, manage-student-finance.html",A
Windows-Chrome-6037541208831418,51736,2,896,2025-04-18 22:52:48,60.197,21,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=51736,"login-b.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-6037541208831418,51736,3,917,2025-04-18 22:54:02,55.613,31,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=51736,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html, financials-b.html, manage-student-finance.html",B
Windows-Chrome-6037541208831418,51736,4,948,2025-04-18 22:55:09,34.68,14,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-a&participant_id=51736,"login-b.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, financials.html, manage-student-finance.html, personal-info.html, contact-details.html",C
Windows-Chrome-6037541208831418,51736,5,962,2025-04-18 22:56:41,18.218,5,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-a&participant_id=51736,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",A
Windows-Chrome-6037541208831418,51736,6,967,2025-04-18 22:57:18,41.107,12,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-a-home-a&participant_id=51736,"login-a.html, homepage-a.html, personal-info.html, contact-details.html, addresses.html",A
Windows-Chrome-6037541208831418,51736,7,979,2025-04-18 22:58:09,18.659,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=51736,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A
